#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
120,Ghana,"171,112",,"1,462                                ",,"169,636",,14,2,"5,282",45,"2,527,319","78,015","32,395,450 ",Africa,,"18922,15813",,,0.4,
121,Namibia,"170,496",,"4,083                                ",,"166,324",,89,,"64,732","1,550","1,062,663","403,460","2,633,874 ",Africa,,156452,,,34,
122,Uganda,"170,328",,"3,630                                ",,"100,431",,"66,267",3,"3,517",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,34216",,,"1,368",
123,Jamaica,"153,407",,"3,480                                ",,"102,212",,"47,715",,"51,391","1,166","1,183,986","396,633","2,985,094 ",North America,,198583,,,"15,984",
124,Cambodia,"138,689",+4,"3,056                                ",,"135,621",,12,,"8,078",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",0.2,,0.7,
125,Rwanda,"133,090",,"1,468                                ",,"131,559",,63,,"9,786",108,"5,959,042","438,150","13,600,464 ",Africa,,"1029,2652",,,5,
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,,"22514,20416",,,122,
127,Malta,"116,953",,824                                ,,"115,473",,656,4,"263,388","1,856","2,107,048","4,745,251","444,033 ",Europe,,45390,,,"1,477",
128,Barbados,"106,157",,571                                ,,"105,570",,16,,"368,571","1,982","790,354","2,744,066","288,023 ",North America,,35040,,,56,
129,Angola,"105,184",,"1,931                                ",,"103,216",,37,,"3,003",55,"1,499,795","42,818","35,027,343 ",Africa,,"33318,13923",,,1,
130,Channel Islands,"101,062",,223                                ,,"100,732",,107,,"572,709","1,264","1,252,808","7,099,551","176,463 ",Europe,,27910,,,606,
131,French Guiana,"98,028",,420                                ,,"11,254",,"86,354",6,"312,023","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,865",
132,DRC,"95,473",,"1,463                                ",,"84,227",,"9,783",,"1,002",15,"846,704","8,890","95,240,792 ",Africa,,"99865,100112",,,103,
133,Senegal,"88,900",,"1,968                                ",,"86,915",,17,,"5,036",111,"1,146,543","64,946","17,653,671 ",Africa,,"1998,97015",,,1.0,
134,Malawi,"88,505",,"2,686                                ",,"85,337",,482,67,"4,386",133,"624,784","30,959","20,180,839 ",Africa,,"2287,51332",,,24,
135,Ivory Coast,"87,974",,833                                ,,"87,135",,6,,"3,171",30,"1,670,882","60,229","27,742,298 ",Africa,,"31533,30417",,,0.2,
136,Suriname,"82,020",,"1,398                                ",,N/A,N/A,N/A,,"137,426","2,342","239,603","401,459","596,831 ",South America,,74272,,,"51,802",
137,New Caledonia,"79,820",,314                                ,,"79,480",,26,9,"274,376","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,89,
138,French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"154,164",
139,Eswatini,"74,114",,"1,422                                ",,"72,641",,51,,"62,553","1,200","1,048,704","885,119","1,184,817 ",Africa,,168331,,,43,
140,Guyana,"72,922",,"1,294                                ",,"71,279",,349,,"91,836","1,630","717,283","903,328","794,045 ",South America,,116141,,,440,
141,Belize,"70,610",,688                                ,,"69,868",,54,6,"171,304","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,131,
142,Fiji,"68,820",,883                                ,,"66,780",,"1,157",,"75,671",971,"667,715","734,184","909,466 ",Australia/Oceania,,"131,0301",,,"1,272",
143,Madagascar,"67,817",,"1,419                                ",,"66,343",,55,,"2,324",49,"523,878","17,955","29,178,077 ",Africa,,"43020,56256",,,2,
144,Sudan,"63,736",,"5,001                                ",,"58,284",,451,,"1,386",109,"562,941","12,240","45,992,020 ",Africa,,"7229,19782",,,10,
145,Mauritania,"63,664",,997                                ,,"62,433",,234,,"12,987",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,48,
146,Cabo Verde,"63,227",,413                                ,,"62,755",,59,23,"111,378",728,"401,622","707,482","567,678 ",Africa,,"91,3751",,,104,
147,Bhutan,"62,598",,21                                ,,"61,564",,"1,013",,"79,445",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,286",
148,Syria,"57,453",,"3,164                                ",,"54,289",,0,,"2,967",163,"146,269","7,553","19,364,809 ",Asia,,"3376,120132",,,,
149,Burundi,"52,162",,38                                ,,"51,393",,731,,"4,132",3,"345,742","27,386","12,624,840 ",Africa,,"242332,23337",,,58,
150,Seychelles,"50,355",,172                                ,,"50,026",,157,,"506,457","1,730",,,"99,426 ",Africa,,2578,,,"1,579",
151,Gabon,"48,980",,306                                ,,"48,668",,6,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,,"487,6191",,,3,
152,Andorra,"47,839",,165                                ,,"47,563",,111,14,"617,572","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,"1,433",
153,Papua New Guinea,"46,663",,669                                ,,"43,982",,"2,012",7,"5,022",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19913,89037",,,217,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866",
155,Aruba,"43,993",,236                                ,,"42,438",,"1,319",2,"408,823","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"12,257",
156,Tanzania,"42,600",,846                                ,,N/A,N/A,N/A,7,673,13,,,"63,298,550 ",Africa,,"1,48674,821",,,657,
157,Mayotte,"42,002",,188                                ,,N/A,N/A,N/A,,"146,727",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,"135,716",
158,Mauritius,"41,652",,"1,043                                ",,"39,943",,666,,"32,675",818,"358,675","281,374","1,274,727 ",Africa,,"311,2224",,,522,
159,Togo,"39,353",,290                                ,,"39,059",,4,,"4,533",33,"806,421","92,897","8,680,837 ",Africa,,"22129,93411",,,0.5,
160,Guinea,"38,240",,467                                ,,"37,757",,16,8,"2,758",34,"660,107","47,607","13,865,691 ",Africa,,"36329,69121",,,1,
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450",
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,,114812,,,729,
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,,"633,0095",,,"3,717",
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133",
